Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Cowells_Method, 0.0465731 m, 0.0356209 m, 0.135783 m, 1.36897e-09 m, 0.00522873 cm/s, 0.00404743 cm/s, 0.0160368 cm/s, 1.22699e-10 cm/s
Keplerian_VOP, 0.0465722 m, 0.0356212 m, 0.135782 m, 1.36897e-09 m, 0.00522861 cm/s, 0.00404748 cm/s, 0.0160368 cm/s, 1.22699e-10 cm/s
Equinoctial_VOP, 0.0466945 m, 0.0358514 m, 0.13659 m, 2.44889e-09 m, 0.00524185 cm/s, 0.00404941 cm/s, 0.016088 cm/s, 2.71753e-10 cm/s
