Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Two_Body, 0.000439215 m, 0.000155127 m, 0.00084044 m, 1.36897e-09 m, 4.49567e-05 cm/s, 1.46666e-05 cm/s, 7.8551e-05 cm/s, 1.22699e-10 cm/s
Cowells_Method, 0.000439171 m, 0.00015509 m, 0.000840672 m, 1.36897e-09 m, 4.49577e-05 cm/s, 1.46646e-05 cm/s, 7.85466e-05 cm/s, 1.22699e-10 cm/s
Keplerian_VOP, 0.000439414 m, 0.000155347 m, 0.000838366 m, 1.36897e-09 m, 4.49559e-05 cm/s, 1.46747e-05 cm/s, 7.82507e-05 cm/s, 1.22699e-10 cm/s
Equinoctial_VOP, 0.000439418 m, 0.000155346 m, 0.000838373 m, 2.44889e-09 m, 4.49559e-05 cm/s, 1.46743e-05 cm/s, 7.82622e-05 cm/s, 2.71753e-10 cm/s
