Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Two_Body, 1.51338e-05 m, 8.73725e-06 m, 3.47038e-05 m, 1.36897e-09 m, 1.69645e-06 cm/s, 9.97869e-07 cm/s, 3.74112e-06 cm/s, 1.22699e-10 cm/s
Cowells_Method, 1.60912e-05 m, 9.77548e-06 m, 3.92947e-05 m, 1.36897e-09 m, 1.8071e-06 cm/s, 1.11825e-06 cm/s, 4.27058e-06 cm/s, 1.22699e-10 cm/s
Keplerian_VOP, 7.52488e-06 m, 4.02404e-06 m, 2.09249e-05 m, 1.36897e-09 m, 8.22723e-07 cm/s, 4.52808e-07 cm/s, 2.18895e-06 cm/s, 1.22699e-10 cm/s
Equinoctial_VOP, 7.6014e-06 m, 4.06972e-06 m, 2.11237e-05 m, 2.44889e-09 m, 8.3104e-07 cm/s, 4.58881e-07 cm/s, 2.21134e-06 cm/s, 2.71753e-10 cm/s
