Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Cowells_Method, 902.071 m, 656.256 m, 2112.55 m, 1.36897e-09 m, 102.948 cm/s, 73.8258 cm/s, 219.074 cm/s, 1.22699e-10 cm/s
Keplerian_VOP, 902.071 m, 656.256 m, 2112.55 m, 1.36897e-09 m, 102.948 cm/s, 73.8258 cm/s, 219.074 cm/s, 1.22699e-10 cm/s
Equinoctial_VOP, 913.925 m, 669.193 m, 2224.6 m, 2.44889e-09 m, 104.47 cm/s, 74.814 cm/s, 226.748 cm/s, 2.71753e-10 cm/s
