Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Cowells_Method, 549.629 m, 316.673 m, 1061.35 m, 1.36897e-09 m, 62.3923 cm/s, 35.8016 cm/s, 122.725 cm/s, 1.22699e-10 cm/s
Keplerian_VOP, 549.629 m, 316.673 m, 1061.35 m, 1.36897e-09 m, 62.3923 cm/s, 35.8016 cm/s, 122.725 cm/s, 1.22699e-10 cm/s
Equinoctial_VOP, 561.586 m, 321.318 m, 1088.87 m, 2.44889e-09 m, 63.9318 cm/s, 36.3827 cm/s, 124.233 cm/s, 2.71753e-10 cm/s
