Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Cowells_Method, 747.289 m, 786.534 m, 2770.56 m, 2.23937e-09 m, 84.4564 cm/s, 88.9302 cm/s, 307.175 cm/s, 2.62154e-10 cm/s
Keplerian_VOP, 747.289 m, 786.534 m, 2770.56 m, 2.23937e-09 m, 84.4564 cm/s, 88.9302 cm/s, 307.175 cm/s, 2.62154e-10 cm/s
Equinoctial_VOP, 1016.8 m, 1063.53 m, 4136.34 m, 2.82392e-09 m, 103.56 cm/s, 103.219 cm/s, 378.366 cm/s, 2.47508e-10 cm/s
