Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Cowells_Method, 901.126 m, 655.793 m, 2111.08 m, 1.36897e-09 m, 102.841 cm/s, 73.7723 cm/s, 218.906 cm/s, 1.22699e-10 cm/s
Keplerian_VOP, 901.126 m, 655.793 m, 2111.08 m, 1.36897e-09 m, 102.841 cm/s, 73.7723 cm/s, 218.906 cm/s, 1.22699e-10 cm/s
Equinoctial_VOP, 912.951 m, 668.774 m, 2223.13 m, 2.44889e-09 m, 104.358 cm/s, 74.7681 cm/s, 226.581 cm/s, 2.71753e-10 cm/s
