Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Cowells_Method, 875.124 m, 637.36 m, 2062.28 m, 2.16005e-09 m, 99.8761 cm/s, 71.6536 cm/s, 214.283 cm/s, 3.58907e-10 cm/s
Keplerian_VOP, 875.124 m, 637.36 m, 2062.28 m, 2.16005e-09 m, 99.8761 cm/s, 71.6536 cm/s, 214.283 cm/s, 3.58907e-10 cm/s
Equinoctial_VOP, 906.631 m, 885.7 m, 3297.04 m, 2.44889e-09 m, 100.745 cm/s, 78.0404 cm/s, 279.398 cm/s, 3.39663e-10 cm/s
