Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Cowells_Method, 0.048403 m, 0.0355277 m, 0.137726 m, 1.36897e-09 m, 0.00545023 cm/s, 0.00403027 cm/s, 0.0162825 cm/s, 1.22699e-10 cm/s
Keplerian_VOP, 0.0483993 m, 0.0355271 m, 0.137721 m, 1.36897e-09 m, 0.0054498 cm/s, 0.00403021 cm/s, 0.0162819 cm/s, 1.22699e-10 cm/s
Equinoctial_VOP, 0.0483668 m, 0.0355276 m, 0.135393 m, 2.44889e-09 m, 0.00544077 cm/s, 0.00403609 cm/s, 0.016282 cm/s, 2.71753e-10 cm/s
