Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Cowells_Method, 5.98314e+07 m, 3.08855e+07 m, 1.11201e+08 m, 33023.3 m, 804865 cm/s, 302766 cm/s, 1.34714e+06 cm/s, 1083.52 cm/s
Keplerian_VOP, 5.98314e+07 m, 3.08855e+07 m, 1.11201e+08 m, 33023.3 m, 804865 cm/s, 302766 cm/s, 1.34714e+06 cm/s, 1083.52 cm/s
Equinoctial_VOP, 5.98314e+07 m, 3.08855e+07 m, 1.11201e+08 m, 33023.3 m, 804865 cm/s, 302766 cm/s, 1.34714e+06 cm/s, 1083.52 cm/s
