Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Two_Body, 1.15263e-06 m, 8.21942e-07 m, 2.63415e-06 m, 1.36897e-09 m, 1.2929e-07 cm/s, 9.18349e-08 cm/s, 2.9089e-07 cm/s, 1.22699e-10 cm/s
Cowells_Method, 2.12151e-06 m, 1.94208e-06 m, 7.03431e-06 m, 1.36897e-09 m, 2.40918e-07 cm/s, 2.19114e-07 cm/s, 7.60277e-07 cm/s, 1.22699e-10 cm/s
Keplerian_VOP, 7.37598e-06 m, 4.39303e-06 m, 1.3458e-05 m, 1.36897e-09 m, 8.36633e-07 cm/s, 4.98106e-07 cm/s, 1.55116e-06 cm/s, 1.22699e-10 cm/s
Equinoctial_VOP, 7.25852e-06 m, 4.38224e-06 m, 1.32574e-05 m, 2.44889e-09 m, 8.22222e-07 cm/s, 4.98586e-07 cm/s, 1.5283e-06 cm/s, 2.71753e-10 cm/s
