Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Cowells_Method, 0.0481298 m, 0.0354889 m, 0.137391 m, 2.514e-09 m, 0.00541631 cm/s, 0.00402624 cm/s, 0.0162371 cm/s, 1.94453e-10 cm/s
Keplerian_VOP, 0.0481263 m, 0.0354884 m, 0.137386 m, 2.514e-09 m, 0.0054159 cm/s, 0.00402619 cm/s, 0.0162365 cm/s, 1.94453e-10 cm/s
Equinoctial_VOP, 0.0481017 m, 0.0355054 m, 0.135265 m, 2.72848e-09 m, 0.00540742 cm/s, 0.00403285 cm/s, 0.0162401 cm/s, 4.0817e-10 cm/s
