Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Two_Body, 0.00046621 m, 0.000269897 m, 0.000901377 m, 2.514e-09 m, 5.27707e-05 cm/s, 3.0641e-05 cm/s, 0.000103065 cm/s, 1.94453e-10 cm/s
Cowells_Method, 0.00046524 m, 0.000268874 m, 0.000898553 m, 2.514e-09 m, 5.2659e-05 cm/s, 3.05215e-05 cm/s, 0.000102507 cm/s, 1.94453e-10 cm/s
Keplerian_VOP, 0.00047467 m, 0.000274874 m, 0.00091567 m, 2.514e-09 m, 5.37312e-05 cm/s, 3.12067e-05 cm/s, 0.000104818 cm/s, 1.94453e-10 cm/s
Equinoctial_VOP, 0.000474556 m, 0.000274846 m, 0.000915469 m, 2.72848e-09 m, 5.37163e-05 cm/s, 3.12069e-05 cm/s, 0.000104795 cm/s, 4.0817e-10 cm/s
