Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Cowells_Method, 875.12 m, 637.357 m, 2062.27 m, 2.23937e-09 m, 99.8757 cm/s, 71.6533 cm/s, 214.282 cm/s, 2.62154e-10 cm/s
Keplerian_VOP, 875.12 m, 637.357 m, 2062.27 m, 2.23937e-09 m, 99.8757 cm/s, 71.6533 cm/s, 214.282 cm/s, 2.62154e-10 cm/s
Equinoctial_VOP, 906.628 m, 885.698 m, 3297.03 m, 2.82392e-09 m, 100.745 cm/s, 78.0401 cm/s, 279.397 cm/s, 2.47508e-10 cm/s
