Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Cowells_Method, 876.091 m, 637.891 m, 2063.92 m, 2.23937e-09 m, 99.9856 cm/s, 71.7148 cm/s, 214.469 cm/s, 2.62154e-10 cm/s
Keplerian_VOP, 876.091 m, 637.891 m, 2063.92 m, 2.23937e-09 m, 99.9856 cm/s, 71.7148 cm/s, 214.469 cm/s, 2.62154e-10 cm/s
Equinoctial_VOP, 907.256 m, 886.235 m, 3298.67 m, 2.82392e-09 m, 100.844 cm/s, 78.0926 cm/s, 279.582 cm/s, 2.47508e-10 cm/s
