Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Cowells_Method, 748.082 m, 787.167 m, 2772.27 m, 2.16005e-09 m, 84.5475 cm/s, 89.0015 cm/s, 307.373 cm/s, 3.58907e-10 cm/s
Keplerian_VOP, 748.082 m, 787.167 m, 2772.27 m, 2.16005e-09 m, 84.5475 cm/s, 89.0015 cm/s, 307.373 cm/s, 3.58907e-10 cm/s
Equinoctial_VOP, 1017.37 m, 1064.14 m, 4138.06 m, 2.44889e-09 m, 103.639 cm/s, 103.288 cm/s, 378.559 cm/s, 3.39663e-10 cm/s
