Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Cowells_Method, 540.596 m, 311.28 m, 1044.49 m, 2.23937e-09 m, 61.3214 cm/s, 35.1329 cm/s, 121.148 cm/s, 2.62154e-10 cm/s
Keplerian_VOP, 540.596 m, 311.28 m, 1044.49 m, 2.23937e-09 m, 61.3214 cm/s, 35.1329 cm/s, 121.148 cm/s, 2.62154e-10 cm/s
Equinoctial_VOP, 679.586 m, 545.235 m, 2175.6 m, 2.82392e-09 m, 64.4739 cm/s, 46.4014 cm/s, 172.185 cm/s, 2.47508e-10 cm/s
